Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
Agena Banti Hotel,"18 Phạm Văn Đồng, Đà Nẵng, Việt Nam",VND 366.660,22,1.2,3.7,0,0,1,1,1,1,0,0
Thành Hoàng Châu Hotel,"56 Hoang Dieu, Ward Phuoc Ninh, Hai Chau District, Đà Nẵng, Việt Nam",VND 272.847,30,2.1,1.9,0,1,1,0,1,1,0,1
Yuni Hotel And Apartment,"49 An Thượng 26, Đà Nẵng, Việt Nam",VND 611.990,20,0.2,4.4,1,1,1,0,1,1,0,0
La Maison Danang Beach Hotel,"12A Pham Van Dong, An Hai Bac, Son Tra, Đà Nẵng, Việt Nam",VND 410.000,28,0.35,4.5,0,1,1,0,1,1,0,0
Rosetta Beach Hotel & Apartment,"Lot 63 Duong Dinh Nghe, An Cu 2, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam",VND 454.262,20,0.45,4.4,0,1,1,1,1,1,0,0
Raon Danang Beach - STAY 24H,"5 An Thuong 32, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 416.500,24,0.25,4.3,0,1,1,1,1,1,0,0
Gold Time Hotel,"55 Đỗ Bá, Đà Nẵng, Việt Nam",VND 290.400,20,0.5,4,0,0,1,0,0,1,0,0
Sea Castle 2 Hotel Da Nang,"45 Ha Bong, Đà Nẵng, Việt Nam",VND 363.713,25,0.15,4.6,0,1,1,1,1,1,0,0
The Glomad Danang Hotel,"41­ Hà Bổng, P.Phước Mỹ, Q.Sơn Trà, Đà Nẵng, Việt Nam",VND 780.000,28,0.15,4.6,1,0,1,1,1,1,1,0
RAON Apartment & Hotel,"Lô 07, Khu Dân Cư 387, Đà Nẵng, Việt Nam",VND 389.664,22,0.25,4.3,0,1,1,1,1,1,0,0
Santori Hotel And Spa,"Lô 119-120 khu Euro Village, Đ. Trần Hưng Đạo, An Hải Tây, Sơn Trà, Đà Nẵng, Đà Nẵng, Việt Nam",VND 597.345,24,1.6,3.1,1,1,1,0,1,1,1,0
Diamond Hotel & Apartment,"24 Chính Hữu, phường An Hải Bắc, quận Sơn Trà, Thành phố Đà Nẵng, Đà Nẵng, Việt Nam",VND 540.000,28,0.7,4.3,1,1,1,0,1,1,1,0
Menora Grand Da Nang,"69-71-73 Do Bi Street, My Khe Beach, Ngu Hanh Son District, Da Nang, Đà Nẵng, Việt Nam",VND 729.000,20,0.2,4.4,1,0,0,0,1,0,0,0
Khách Sạn Hạnh Phúc,"73 Hà Bổng 50, Đà Nẵng, Việt Nam",VND 1.650.000,25,0.15,4.6,1,1,1,1,1,1,1,0
Dana House ELC,"231 Chính Hữu, Đà Nẵng, Việt Nam",VND 1.015.000,45,0.65,4.1,1,1,1,0,1,1,0,0
Señorita Boutique Hotel,"89 Tran Bach Dang, Đà Nẵng, Việt Nam",VND 804.180,25,0.1,4.4,1,1,1,0,1,1,1,0
Phú An Hotel,"48 Đường 2 Tháng 9, Đà Nẵng, Việt Nam",VND 392.840,16,2.6,2.1,0,1,1,1,1,1,0,0
Le House Boutique Hotel,"85 - 87 Ha Bong, Đà Nẵng, Việt Nam",VND 456.576,24,0.15,4.6,0,1,1,0,1,1,0,0
ChiPa Homestay,"K10/1A Phạm Văn Nghị Phường Thạch Gián - Quận Thanh Khê - Tp Đà Nẵng, Đà Nẵng, Việt Nam",VND 324.500,18,1.8,0.75,0,0,1,0,0,1,0,0
ST Motel & Apartment,"41 Cao Bá Quát, An Hải Tây, Sơn Trà, Đà Nẵng, Vviệt Nam, Đà Nẵng, Việt Nam",VND 350.000,18,1.7,3.1,0,1,1,0,1,1,0,0
Saluton Hotel,"262 Nguyễn Công Trứ, Đà Nẵng, Việt Nam",VND 400.000,30,0.75,4,0,1,1,0,1,0,0,0
Golden Rose Hotel by THG,"56 Loseby Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam",VND 450.000,28,0.45,4.5,0,1,1,1,1,1,0,0
Halina Hotel and Apartment,"Lot 133.134 Tran Bach Dang Str, My An Ward, Ngu Hanh Son Dist, Đà Nẵng, Việt Nam",VND 744.762,18,0.2,4.4,1,1,1,0,1,1,1,0
Sekong Hotel Da Nang,"160 Vo Nguyen Giap, Phuoc My, Son Tra, Da Nang, Đà Nẵng, Việt Nam",VND 756.000,32,0.15,4.9,1,1,1,1,1,1,1,0
Homestay Halley,"37 Dao Cam Moc, Hai Chau, Da Nang, Đà Nẵng, Việt Nam",VND 250.000,18,3.5,0.6,0,0,1,0,1,1,0,0
SHI HOUSE by Haviland,"232 Đường Trần Hưng Đạo 232 Trần Hưng Đạo, Đà Nẵng, Việt Nam",VND 666.900,30,1.6,3.1,0,1,1,0,1,0,0,0
Paris Deli Danang Beach Hotel,"236 Vo Nguyen Giap, Son Tra, Đà Nẵng, Việt Nam",VND 1.263.385,23,0.1,4.7,1,0,1,1,1,1,1,1
May Beach Hotel,"22-23 Đỗ Bá, Đà Nẵng, Việt Nam",VND 550.000,28,0.2,4.3,0,1,1,1,1,1,1,0
Glamour Hotel Da Nang,"269 Tran Hung Dao Str., An Hai Bac Ward, Son Tra Dist, Da Nang City, Đà Nẵng, Việt Nam",VND 756.000,25,1.9,3.4,1,1,1,0,1,1,1,0
Hai Trieu Hotel,"18 - 20 Loseby , Đà Nẵng, Việt Nam",VND 916.647,25,0.55,4.4,1,1,1,0,1,1,1,0
Shara Hotel Da Nang,"52 - 53 Phan Liem, Ngu Hanh Son, Đà Nẵng, Việt Nam",VND 536.000,25,0.2,4.4,0,1,1,0,1,1,0,0
Minh Boutique,"5 Nguyen Cao Luyen, Đà Nẵng, Việt Nam",VND 1.222.196,25,0.45,4.4,1,1,1,0,1,1,0,1
Greenery Hotel,"76 Ha Bong, Đà Nẵng, Việt Nam",VND 534.000,25,0.2,4.6,1,1,0,0,1,1,0,0
Crystal Boutique Hotel by THG,"204 Ho Nghinh, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",VND 645.834,28,0.3,4.5,1,1,1,0,1,1,1,0
Robin Hotel Danang,"08 Loseby, Đà Nẵng, Việt Nam",VND 329.000,16,0.35,4.6,0,1,1,1,1,1,0,0
Lavencos Hotel Da Nang,"360 - 362 Vo Nguyen Giap, Đà Nẵng, Việt Nam",VND 831.996,30,0.35,4.3,1,1,1,1,1,1,0,1
Stella Maris Beach Danang,"3 Vo Van Kiet, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",VND 1.575.000,28,0.15,4.6,1,1,1,1,1,1,1,0
Golden Lotus Hotel Da Nang,"200 Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Đà Nẵng, Việt Nam",VND 1.038.966,24,0.15,4.4,1,0,1,1,1,1,1,0
Ngọc Bích Hotel Da Nang,"23 Lê Bình, Đà Nẵng, Việt Nam",VND 900.000,25,0.4,4.6,1,1,1,0,1,1,0,0
Taian Hotel & Apartment,"27 đường An Thượng 34, phường Mỹ An, quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",VND 602.059,40,0.2,4.3,0,1,1,0,1,1,0,0
Nguyen Gia Hotel,"Hoàng Sa, Đà Nẵng, Việt Nam",VND 616.000,18,0.01,6,1,0,1,1,1,1,0,0
Ponte Boutique Da Nang,"104 Ho Nghinh, Son Tra , Đà Nẵng, Việt Nam",VND 1.140.625,35,0.35,4.7,1,1,1,0,1,1,0,0
TMS Hotel Da Nang Beach,"292 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",VND 2.035.000,45,0.05,4.5,1,0,1,1,1,1,1,0
A La Carte Da Nang Beach,"200 Vo Nguyen Giap Street, Son Tra District, Đà Nẵng, Việt Nam",VND 1.377.600,44,0.1,4.7,1,1,1,1,1,1,1,0
Golden Lotus Luxury Hotel Danang,"198b Trần Bạch Đằng, Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",VND 1.297.584,25,0.15,4.4,1,1,1,0,1,1,1,0
La Maison Des Délices,"44 Man Thiện, Đà Nẵng, Việt Nam",VND 545.694,22,2.1,0.25,0,0,1,0,1,1,0,0
BlueSun Danang Beach Hotel,"230 Vo Nguyen Giap Street, Phuoc My ward, Son Tra, Đà Nẵng, Việt Nam",VND 1.041.962,25,0.1,4.7,1,1,1,1,1,1,1,0
T.26 Hotel,"8 Bạch Đằng, Đà Nẵng, Việt Nam",VND 660.000,45,2.5,3.3,0,1,1,0,1,1,0,0
Lantana House Boutique Da Nang by Haviland,"02 Mỹ Khê 1, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam",VND 577.980,25,0.6,4.1,1,0,1,0,1,1,0,0
SOCO Hotel by THG,"305 Nguyen Van Thoai, Đà Nẵng, Việt Nam",VND 620.000,28,0.25,4.3,0,1,1,1,1,1,0,0
La Belle Vie Boutique Hotel,"Cao Xuân Dục 04, Đà Nẵng, Việt Nam",VND 812.301,25,2.4,3.4,1,0,1,0,1,1,1,0
Anh Đào Hotel & Apartment,"20 Đỗ Bí, Đà Nẵng, Việt Nam",VND 720.000,20,0.2,4.4,1,1,1,1,1,1,1,0
Sunflower Hotel 2,"59 Loseby, Ward An Hai Bac, Son Tra District, Đà Nẵng, Việt Nam",VND 280.000,15,0.35,4.6,0,1,1,1,1,1,0,0
Flower Boutique Hotel,"33 - 34 Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Đà Nẵng, Việt Nam",VND 823.200,25,0.3,4.2,1,1,1,0,1,1,1,0
Amunra Ocean Hotel,"06 An Thượng 30, phường Mỹ An, quận Ngũ Hành Sơn, thành phố Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 630.000,35,0.2,4.4,0,1,1,0,1,1,0,0
Monalisa Luxury Hotel,"198 Trần Bạch Đằng, Đà Nẵng, Việt Nam",VND 848.497,20,0.15,4.4,1,1,1,0,1,1,0,0
Alani Hotel & Spa,"134-136-138 Tran Bach Dang, Đà Nẵng, Việt Nam",VND 671.509,20,0.15,4.4,1,1,1,1,1,1,1,0
MK Riverside Apartment by Haviland,"35, 37 Chương Dương, P.Mỹ An, Q.Ngũ Hành Sơn, Đà Nẵng, Việt Nam",VND 611.325,35,1.6,3,0,1,1,0,1,1,0,0
HAIAN Riverfront Hotel Da Nang,"182 Bach Dang , Đà Nẵng, Việt Nam",VND 1.305.822,25,2.3,2.5,0,1,1,0,1,1,1,0
Tashi Ocean Hotel & Apartment Da Nang,"62 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 667.000,25,0.35,4.8,0,1,1,1,1,1,0,0
San Marino Boutique Danang,"161-163-165 Vo Van Kiet, Son Tra, Đà Nẵng, Việt Nam",VND 767.617,20,0.95,3.8,1,1,0,0,1,1,1,0
LEGEND Boutique Hotel,"169 Hồ Nghinh, Đà Nẵng, Việt Nam",VND 1.203.537,25,0.25,4.5,1,1,1,0,1,0,0,0
Lupin Boutique Hotel Danang,"171 Street 3/2, Thuan Phuoc Ward, Hai Chau Dist., Đà Nẵng, Việt Nam",VND 500.000,26,2.1,3.2,0,0,1,0,1,0,0,0
Hotel Del Luna Boutique,"138 Ho Nghinh, Đà Nẵng, Việt Nam",VND 899.921,25,0.3,4.6,1,1,1,0,1,1,1,0
Mitisa Hotel Da Nang,"67-69 Nguyen Van Linh, Hai Chau District , Đà Nẵng, Việt Nam",VND 814.797,22,2.1,1.3,1,1,1,0,1,0,0,0
ViAn Hotel And Spa Danang,"124 Phạm Văn Đồng, Đà Nẵng, Việt Nam",VND 641.250,30,1.1,3.8,1,0,1,0,1,1,1,0
KOVA Diamond Hotel Da Nang,"27 Vo Van Kiet Str., Đà Nẵng, Việt Nam",VND 800.000,25,0.25,4.5,1,1,1,1,1,1,0,0
Hadana Boutique Hotel,"H1-04,05,06 đường Phạm Văn Đồng, phường An Hải Bắc, quận Sơn Trà, Thành Phố Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 719.937,20,1.1,3.8,1,1,1,0,1,1,1,0
FIVITEL King,"171 Nguyen Van Thoai, Da Nang, Đà Nẵng, Việt Nam",VND 685.738,24,0.55,4,1,1,1,1,1,1,1,0
Canvas Danang Beach Hotel,"234 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 1.464.588,28,0.1,4.6,1,1,1,1,1,1,1,1
Cordial Grand Hotel and Apartment,"27-29 Loseby, An Hai Bac, Son Tra, Đà Nẵng, Việt Nam",VND 483.286,20,0.55,4.5,1,1,1,0,1,1,1,0
The Code Hotel & Spa Da Nang,"Khu A2.3, Đường Hoàng Sa, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng, Việt Nam",VND 823.784,25,0.01,6,1,1,1,1,1,1,1,0
Santa Luxury Hotel,"9 Đỗ Bá, Đà Nẵng, Việt Nam",VND 909.158,28,0.1,4.4,1,1,1,0,1,1,1,0
Monalisa Apartment,"18-24 Phan Ton Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",VND 442.597,35,0.15,4.4,1,1,1,0,1,1,0,0
Hilton Garden Inn Da Nang,"96 Vo Nguyen Giap Street, 550000 Đà Nẵng, Việt Nam",VND 1.799.658,27,0.05,5,1,1,1,1,1,1,1,0
Sea Wind Hotel by THG,"74 Trần Bạch Đằng, Đà Nẵng, Việt Nam",VND 600.000,25,0.15,4.4,1,1,0,1,1,1,0,0
D&C Hotel,"01 Mai Hac De, Đà Nẵng, Việt Nam",VND 388.800,19,1.6,3.2,0,0,1,0,1,0,0,0
Four Points by Sheraton Danang,"118-120 Vo Nguyen Giap Street, Phuoc My Ward, 550000 Đà Nẵng, Việt Nam",VND 2.250.000,35,0.1,5,1,0,1,1,1,1,1,0
Quoc Cuong Center Da Nang Hotel by Haviland,"324-326 Hoang Dieu Street, Đà Nẵng, Việt Nam",VND 444.600,25,2.5,1.5,1,1,1,0,1,1,0,0
Seahorse Tropical Da Nang Hotel by Haviland,"29 Yen Bai, Hai Chau , Đà Nẵng, Việt Nam",VND 975.000,30,2.4,2.5,1,1,1,0,1,0,0,0
AVORA Boutique Hotel,"136 Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng, Việt Nam",VND 800.818,25,1.6,1.9,1,0,1,0,1,1,1,0
Bona Hostel,"108 Cao Bá Quát, Đà Nẵng, Việt Nam",VND 314.925,20,1.7,3.1,0,0,1,0,1,1,0,0
Tay Bac Hotel Da Nang,"04 Ha Bong, Đà Nẵng, Việt Nam",VND 672.000,25,0.2,4.6,0,0,1,1,1,1,0,0
Jolia Hotel Danang Beach,"35 - 37 An Thuong 29 Str, My An Ward, Ngu Hanh Son Dist, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 887.040,37,0.25,4.3,1,1,1,1,1,1,0,0
Muong Thanh My Khe Beach Apartment Da Nang,"51 Trần Bạch Đằng, Đà Nẵng, Việt Nam",VND 1.530.000,70,0.15,4.4,1,0,0,0,1,0,0,0
SeaColor Beachstay Danang Hotel by Haviland,"446 Võ Nguyên Giáp, Đà Nẵng, Việt Nam",VND 389.025,25,0.3,4.4,0,1,1,0,0,1,0,0
Palazzo Luxury Hotel,"Số 230-232-234 Trần Bạch Đằng, P. Mỹ An, Q.Ngũ Hành Sơn, TP. Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 900.000,28,0.15,4.4,1,1,1,1,1,1,0,0
Sunny Ocean Hotel & Spa,"90 Tran Bach Dang, Ngu Hanh Son, 550000 Đà Nẵng, Việt Nam",VND 753.130,24,0.15,4.4,1,1,1,0,1,1,1,0
Gold Summer 2 Hotel,"47 Phước Trường 11, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng, Việt Nam",VND 250.200,25,0.4,4.8,0,0,1,0,1,1,0,0
Centre Hotel,"18-20 Pham Phu Thu, Hai Chau, Đà Nẵng, Việt Nam",VND 512.993,22,2.3,2.5,0,1,1,0,1,1,0,0
Dana Marina Boutique Hotel,"47 Vo Van Kiet Street, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",VND 645.750,28,0.25,4.5,1,1,1,1,1,1,1,0
King House Villa Hotel & Spa,"25 My Khe 1, Đà Nẵng, Việt Nam",VND 504.000,27,0.65,4.1,1,0,1,0,1,1,1,0
Titan Hotel Da Nang,"102-104 Ho Xuan Huong, Đà Nẵng, Việt Nam",VND 494.000,20,0.6,4.1,0,0,1,0,1,1,0,0
Benzen Boutique Stays,"59 Cao Bá Quát, Đà Nẵng, Việt Nam",VND 476.425,25,1.7,3.1,0,1,1,0,1,1,1,0
Quang Minh Riverside Hotel Danang,"453 Đường Trần Hưng Đạo, Đà Nẵng, Việt Nam",VND 615.600,22,1.7,3,0,1,1,0,1,0,0,0
Casa Rosa Apartment,"K227/68 Nguyen Van Thoai Street, Son Tra Ward, Đà Nẵng, Việt Nam",VND 470.555,28,0.2,4.4,0,1,1,0,1,0,0,0
Seashore Hotel & Apartment,"Lot 15 - 16 Hoang Sa Opposite Man Thai Beach, Đà Nẵng, Việt Nam",VND 897.750,35,0.02,6,1,1,1,1,1,1,1,0
Areca Riverside Đà Nẵng,"361 Tran Hung Dao, Ward An Hai Tay, Son Tra Dist., Đà Nẵng, Việt Nam",VND 399.000,20,1.8,3,0,0,1,0,1,1,0,0
Dolphin Hotel and Apartment,"09 Tan Thuan, Đà Nẵng, Việt Nam",VND 756.383,40,0.15,5,1,0,1,0,1,1,0,0
Golden Lotus Grand,"86 Lê Quang Đạo, Đà Nẵng, Việt Nam",VND 1.394.691,32,0.35,4.2,1,1,1,0,1,1,1,1
Cosmos Hotel Danang,"117-119 Ngô Thì Sỹ, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",VND 917.700,28,0.25,4.3,1,1,1,1,1,1,1,0
Dragon Hotel Apartment,"17 Hà Thị Thân, Đà Nẵng, Việt Nam",VND 351.900,20,1.6,3.2,0,1,1,0,1,1,0,0
Nagila Boutique Hotel,"Lô 11-12 Khu H1, Vệt KTQĐ đường từ cầu sông Hàn ra biển, P. An Hải Bắc, Q. Sơn Trà, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",VND 832.000,32,1.1,3.8,1,1,1,0,1,1,1,0
RHM Luxury Hotel And Suite,"Số 02 An Tu Cong Chua, Phuong My An, Quan Ngu Hanh Son, Đà Nẵng, Việt Nam",VND 1.184.000,24,1.4,3.4,1,1,1,0,1,1,1,0
Aria Grand Hotel & Spa,"63-65-67 Phan Ton St, My An Ward, Ngu Hanh Son District,, Đà Nẵng, Việt Nam",VND 973.812,25,0.35,4.2,1,1,1,0,1,1,1,0
Roliva Hotel & Apartment Danang,"12 Pham Van Dong, Đà Nẵng, Việt Nam",VND 470.306,28,1.2,3.8,1,1,1,0,1,1,1,0
Palazzo 3 Danang Hotel,"19-21 An Thượng 2, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",VND 750.000,25,0.15,4.4,1,1,1,1,1,1,1,0
Meliá Vinpearl Danang Riverfront,"341 Tran Hung Dao Street, An Hai Bac Ward, Son Tra Ward, Đà Nẵng, Việt Nam",VND 1.845.789,41,1.6,3.7,1,1,1,0,1,1,1,0
May Home Apartment Da Nang,"07-09 Lý Văn Tố, An Hải, An Hải Bắc, Sơn Trà, Đà Nẵng, Đà Nẵng, Việt Nam",VND 611.325,30,0.5,4.3,0,0,1,0,1,0,0,0
The Pergola Design Hotel,"K35/37 Duong Dinh Nghe, Đà Nẵng, Việt Nam",VND 575.000,17,0.25,4.5,0,1,1,0,1,1,1,0
Mercy Emerald Hotel,"180 Nguyễn Văn Thoại, Đà Nẵng, Việt Nam",VND 895.178,22,0.2,4.4,1,1,1,0,1,1,1,0
Gold Boutique Hotel Danang,"1357 Nguyen Tat Thanh, Thanh Khe, Đà Nẵng, Việt Nam",VND 500.175,30,0.02,1.9,1,0,1,1,1,1,0,0
Gold Hotel Da Nang by Haviland,"24 Nui Thanh, Đà Nẵng, Việt Nam",VND 486.000,20,2.9,1.8,0,0,1,0,1,1,0,0
Maison Vy Anh Hotel & Apartment,"121 Cao Bá Quát, Đà Nẵng, Việt Nam",VND 530.000,28,1.6,3.2,0,0,0,0,1,1,0,0
Golden Sun Hotel Danang,"95 Võ Văn Kiệt, Đà Nẵng, Việt Nam",VND 585.000,15,0.25,4.4,0,1,1,1,0,1,1,0
Century Hotel Da Nang,"101 Võ Văn Kiệt, Đà Nẵng, Việt Nam",VND 793.800,28,0.5,4.2,1,1,1,0,1,1,1,0
Thành Nhân Hotel,"14 Le Dinh Ly, Thanh Khe, Đà Nẵng, Việt Nam",VND 350.000,16,1.9,0.9,0,0,1,0,1,1,0,0
Grand Citiview Da Nang Hotel,"532, Street 2/9, Hoa Cuong Nam Ward,Hai Chau District, Đà Nẵng, Việt Nam",VND 1.000.000,22,3.1,1.8,1,0,0,0,1,1,0,1
Sofia Suite Hotel Danang,"09 Lê Quang Đạo, Sơn Trà, Đà Nẵng, Việt Nam",VND 389.425,22,0.35,4.2,0,1,1,0,1,1,1,0
Nhat Linh hotel & Apartment,"194 Nguyen Chi Thanh, Đà Nẵng, Việt Nam",VND 500.000,20,2.3,2.1,0,1,1,0,1,1,0,0
Dong Duong Hotel & Suites,"62 Thai Phien, Đà Nẵng, Việt Nam",VND 1.075.000,25,2.4,2.2,1,1,1,0,1,1,1,0
DLG Hotel Danang,"258 Vo Nguyen Giap, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",VND 2.101.398,32,0.03,4.6,1,1,1,1,1,1,1,0
Luxtery Hotel & Spa,"136 Pham Van Dong, Son Tra District, Đà Nẵng, Việt Nam",VND 1.090.909,28,1.1,3.8,1,1,1,0,1,1,1,0
Chicland Danang Beach Hotel,"210 Vo Nguyen Giap, Đà Nẵng, Việt Nam",VND 1.980.000,27,0.1,4.7,1,1,1,1,1,1,1,0
Sun River Hotel & Apartment,"78 Che Lan Vien , Đà Nẵng, Việt Nam",VND 964.826,40,0.55,4.1,1,1,1,0,1,1,0,0
Nhu Minh Plaza Danang Hotel,"Lô 2 - A2 - KH Đường Phạm Văn Đồng, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam",VND 845.751,30,0.95,3.9,1,1,1,1,1,1,1,0
Boy's House,"K35/23A Dương ĐÌnh Nghệ, Đà Nẵng, Việt Nam",VND 250.000,20,0.25,4.5,0,0,0,0,1,1,0,0
M SUITE Danang Beach,"Lô 08 Võ Nguyên Giáp Sơn Trà, Đà Nẵng, Việt Nam",VND 2.991.027,40,0.03,4.8,1,1,1,1,1,1,1,0
Mercury Boutique Hotel & Apartment Da Nang,"125 -127 Nguyen Van Linh, Đà Nẵng, Việt Nam",VND 486.406,16,2.2,1.6,0,1,1,0,1,1,1,0
Golden Line Hotel Danang,"63-65-67 Đỗ Bí Phường Mỹ An - Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",VND 756.383,20,0.2,4.4,1,1,1,1,1,1,1,0
HAIAN Beach Hotel & Spa,"278 Vo Nguyen Giap, Đà Nẵng, Việt Nam",VND 1.262.886,28,0.02,4.6,1,1,1,1,1,1,1,0
Sun River Hotel,"Bach Dang, Hai Chau, Đà Nẵng, Việt Nam",VND 619.835,22,2.3,2.6,0,1,1,0,1,1,1,0
Hilton Da Nang,"50 Bach Dang St, Hai Chau District, Đà Nẵng, Việt Nam",VND 2.721.600,36,2.4,2.8,1,0,1,0,1,1,1,0
Mường Thanh Grand Seaview Đà Nẵng Apartment,"51 Trần Bạch Đằng, Đà Nẵng, Việt Nam",VND 1.500.000,70,0.1,4.4,1,0,0,0,1,0,1,0
Chu Hotel,"02-04-06 An Thuong 1, Bac My An Beach, Đà Nẵng, Việt Nam",VND 612.096,22,0.1,4.5,0,1,1,1,1,0,1,0
De Lamour Hotel,"46 Vo Nguyen Giap Lo 7 - 8, Đà Nẵng, Việt Nam",VND 527.222,18,0.007,5,1,1,1,1,1,1,0,0
Lis Hotel,"204 Chính Hữu, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam",VND 378.000,16,0.7,4,0,1,1,0,1,1,0,0
Tashi Home,"Phước Trường 15, Phước Mỹ, Sơn Trà, Đà Nẵng 28, Đà Nẵng, Việt Nam",VND 351.000,20,0.45,4.7,0,0,1,0,1,0,0,0
DA NANG BAY HOTEL,"52 Võ Nguyên Giáp Mân Thái, Đà Nẵng, Việt Nam",VND 470.000,28,0.02,5,0,0,1,1,1,1,1,0
The Nang Suites,"74/31 Võ Văn Kiệt, Đà Nẵng, Việt Nam",VND 635.100,21,0.95,3.8,0,0,1,0,1,1,0,0
TGT BEACH HOTEL,"19 Dương Đình Nghệ, Đà Nẵng, Việt Nam",VND 899.000,25,0.25,4.6,1,1,1,1,1,1,0,0
Rosamia Da Nang Hotel,"282 Vo Nguyen Giap, Đà Nẵng, Việt Nam",VND 2.472.000,28,0.02,4.6,0,1,1,1,1,1,1,0
