,Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
198,Sala Danang Beach Hotel,"36-38 Lam Hoanh Street, Phuoc My, Son Tra, Đà Nẵng, Việt Nam",1414.0,25,0.1,4.6,1,1,1,1,1,1,1,1
199,Draco Hotel & Suites,"46 An Thượng 2, Đà Nẵng, Việt Nam",1035.0,30,0.2,4.3,1,1,1,1,1,1,1,0
200,Banana Flower Homestay,"85 Nguyễn Du, Đà Nẵng, Việt Nam",480.0,25,2.0,2.8,0,1,1,0,0,1,0,0
201,Tabii hotel,"Lô 27, An Đồn 4, Sơn Trà, Đà Nẵng, Đà Nẵng, Việt Nam",300.0,15,0.95,4.0,0,1,1,1,1,1,0,0
202,Monarque Hotel Danang,"238 Vo Nguyen Giap, Son Tra District, Đà Nẵng, Việt Nam",1585.0,28,0.1,4.7,1,1,1,1,1,1,1,0
203,IKIGAI Dorm Hostel - Danang Centre,"215 Trần Phú, phường Phước Ninh, quận Hải Châu, Đà Nẵng, Việt Nam",350.0,15,2.4,2.4,0,0,1,0,1,1,1,0
204,HAMA Boutique Home,"52B Lam Hoanh Street, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",379.0,18,0.15,4.6,0,1,1,1,1,1,0,0
205,Tashi Park View Hotel & Apartment,"22 Phước Trường 15, Đà Nẵng, Việt Nam",390.0,20,0.45,4.7,0,1,1,0,1,0,0,0
206,Lu Peaceful Homestay,"Phần Lăng 14, Đà Nẵng, Việt Nam",225.0,20,2.0,1.100000000000001,0,0,1,0,0,1,1,0
207,Richico Apartments And Hotel,"176-178 Nguyen Van Thoai, My An, Ngu Hanh Son, Đà Nẵng, Việt Nam",563.0,25,0.2,4.4,1,0,1,1,1,1,1,0
208,Eco Green Boutique Hotel Da Nang,"1 An Thuong 3, Ngu Hanh Son District, Đà Nẵng, Việt Nam",1069.0,25,0.2,4.3,1,1,1,1,1,1,1,0
209,Danaciti Hotel,"80 Dong Kinh Nghia Thuc, An Hai Bac, Son Tra, Đà Nẵng, Việt Nam",745.0,28,0.5,4.6,0,1,1,1,1,1,1,1
210,Hoang Linh Riverside Hotel Danang,"144 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",650.0,25,2.3,2.6,0,0,1,0,1,0,0,0
211,CN Palace Boutique Hotel & Spa,"4,5,6 Pham Van Dong, An Hai Bac, Son Tra District, Đà Nẵng, Việt Nam",619.0,25,1.6,3.5,1,1,1,0,1,1,0,0
212,Daisy Boutique Hotel,"67 Chế Lan Viên, Bắc Mỹ An, 550000 Đà Nẵng, Việt Nam",1212.0,25,0.55,4.1,1,1,1,0,1,1,0,0
213,The Backpacker Hostel and spa,"27 Đường Nguyễn Đình, Đà Nẵng, Việt Nam",675.0,25,0.45,5.0,1,0,1,1,0,0,1,0
214,Palazzo Boutique Hotel,"244-246 Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Tp Đà Nẵng, Đà Nẵng, Việt Nam",686.0,25,0.15,4.4,1,1,1,1,1,1,1,1
215,Nhà của Elly,"K158/65 Ông Ích Đường, Đà Nẵng, Việt Nam",266.0,20,4.3500000000000005,1.2,0,0,1,0,1,0,0,0
216,Serene Beach Danang Hotel,"274 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",665.0,28,0.05,4.5,1,1,1,0,1,1,1,0
217,SWEDEN HOTEL and APARTMENT,"Lô 40- 41 An Thượng 29 , Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",350.0,25,0.3,4.3,0,1,0,0,1,1,0,0
218,Helios Boutique Hotel & Spa,"05 Phan Liem, Ngu Hanh Son, Da Nang, Đà Nẵng, Việt Nam",808.0,21,0.3,4.3,1,1,1,0,1,1,1,1
219,Bay Capital Danang,"17 Quang Trung, Đà Nẵng, Việt Nam",2304.0,36,2.2,2.8,1,0,1,0,1,1,1,0
220,Seahorse Han Market Da Nang Hostel by Haviland,"07 Nguyen Thai Hoc Street, Hai Chau District, Đà Nẵng, Việt Nam",945.0,25,2.3,2.6,0,1,1,0,1,0,0,1
221,Phu My Hai Hotel,"79 Nguyễn Tất Thành, Đà Nẵng, Việt Nam",420.0,25,1.8,2.8,0,1,1,1,1,1,1,0
222,Mandila Beach Hotel Danang,"218 Vo Nguyen Giap Street, Son Tra District, Da Nang City, Viet Nam, Đà Nẵng, Việt Nam",1514.0,30,0.1,4.7,1,0,1,1,1,1,1,0
223,Salamander Apartment hotel,"17 Le Thuoc, Da Nang, Đà Nẵng, Việt Nam",570.0,40,0.25,4.9,0,0,1,0,1,1,0,0
224,Dylan Hotel Danang,"93 Ha Bong , Đà Nẵng, Việt Nam",417.0,23,0.2,4.6,1,1,1,1,1,1,1,0
225,K-House vs Apartment,"44B Lam Hoanh, Ban Dao Son Tra, Thanh Pho Da Nang, Đà Nẵng, Việt Nam",1185.0,50,0.1,4.6,1,0,1,1,1,1,0,0
226,Seaforest Hotel by Haviland,"20, Phuoc Truong 8, Phuoc My, Son Tra, Đà Nẵng, Việt Nam",578.0,30,0.25,4.8,0,1,1,0,0,0,0,0
227,Sel de Mer Hotel & Suites,"92 Vo Nguyen Giap, Son Tra , Đà Nẵng, Việt Nam",1609.0,32,0.04,5.0,0,1,1,1,1,1,1,0
228,Minh House,"104 Tô Hiến Thành Quận Sơn Trà, Đà Nẵng, Việt Nam",909.0,25,0.45,4.3,1,1,1,1,1,0,0,0
229,Sheraton Grand Danang Resort & Convention Center,"35 Truong Sa Street, Hoa Hai Ward, Đà Nẵng, Việt Nam",3616.5,47,0.35,7.099999999999999,1,0,1,1,1,1,1,0
230,Cani Beach House,"Lê Bôi 06, Đà Nẵng, Việt Nam",638.0,40,0.05,5.0,1,1,1,1,1,1,0,1
231,Florence Hotel,"8 Đường Nại Nam 8, Đà Nẵng, Việt Nam",689.0,30,2.4,2.5,1,1,1,0,1,1,1,0
232,Danang Marriott Resort & Spa,"No. 7 Truong Sa Street, Hoa Hai Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",3616.5,54,0.15,6.0,0,1,1,0,1,1,1,0
233,Tuyet Son Hotel (TS Ocean Hotel),"02 Lam Hoanh, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",664.0,25,0.1,4.6,1,1,1,1,1,1,1,0
234,G8 Luxury Hotel and Spa Da Nang,"59 Le Duan, Đà Nẵng, Việt Nam",864.0,26,1.8,2.1,1,0,1,0,1,1,0,0
235,Sea Swan Apartment and Hotel,"Lô 17 An Thượng 29, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành Phố Đà Nẵng 8, Đà Nẵng, Việt Nam",513.0,30,0.2,4.4,0,1,1,1,1,1,0,0
236,SPOT ON 1186 Nha Nghi Huong Mai,"402G, 402G Le Van Hien, Ngu Hanh Son, Da Nang, Da-Nang, Đà Nẵng, Việt Nam",180.0,18,1.1,4.4,0,0,1,0,1,0,0,0
237,CODI SEA Hotel & Travel,"217 Hồ Nghinh, Đà Nẵng, Việt Nam",446.0,15,0.3,4.5,0,1,1,1,1,1,0,0
238,Dora Homestay,"176 Phan Châu Trinh, Đà Nẵng, Việt Nam",630.0,40,2.3,1.9,0,0,1,0,1,1,0,0
239,LaDa's House,"58 Hoàng Văn Thụ, Đà Nẵng, Việt Nam",1575.0,25,2.4,2.0,1,1,1,0,1,1,1,0
240,Mưa home,"74 Nguyễn Văn Thoại, Đà Nẵng, Việt Nam",550.0,25,0.75,3.9,0,0,1,0,1,1,0,0
241,Avenis Hotel,"1691 Nguyen Tat Thanh, Đà Nẵng, Việt Nam",731.0,28,0.03,2.8,1,1,1,1,1,1,1,0
