Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
Taian Hotel & Apartment,"27 đường An Thượng 34, phường Mỹ An, quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",602,40,0.2,4.3,0,1,1,0,1,1,0,0
Nguyen Gia Hotel,"Hoàng Sa, Đà Nẵng, Việt Nam",616,18,0.01,6.0,1,0,1,1,1,1,0,0
Ponte Boutique Da Nang,"104 Ho Nghinh, Son Tra , Đà Nẵng, Việt Nam",1141,35,0.35,4.7,1,1,1,0,1,1,0,0
TMS Hotel Da Nang Beach,"292 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",2035,45,0.05,4.5,1,0,1,1,1,1,1,0
A La Carte Da Nang Beach,"200 Vo Nguyen Giap Street, Son Tra District, Đà Nẵng, Việt Nam",1378,44,0.1,4.7,1,1,1,1,1,1,1,0
Golden Lotus Luxury Hotel Danang,"198b Trần Bạch Đằng, Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",1298,25,0.15,4.4,1,1,1,0,1,1,1,0
La Maison Des Délices,"44 Man Thiện, Đà Nẵng, Việt Nam",546,22,2.1,0.25,0,0,1,0,1,1,0,0
BlueSun Danang Beach Hotel,"230 Vo Nguyen Giap Street, Phuoc My ward, Son Tra, Đà Nẵng, Việt Nam",1042,25,0.1,4.7,1,1,1,1,1,1,1,0
T.26 Hotel,"8 Bạch Đằng, Đà Nẵng, Việt Nam",660,45,2.5,3.3,0,1,1,0,1,1,0,0
Lantana House Boutique Da Nang by Haviland,"02 Mỹ Khê 1, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam",578,25,0.6,4.1,1,0,1,0,1,1,0,0
SOCO Hotel by THG,"305 Nguyen Van Thoai, Đà Nẵng, Việt Nam",620,28,0.25,4.3,0,1,1,1,1,1,0,0
La Belle Vie Boutique Hotel,"Cao Xuân Dục 04, Đà Nẵng, Việt Nam",812,25,2.4,3.4,1,0,1,0,1,1,1,0
Anh Đào Hotel & Apartment,"20 Đỗ Bí, Đà Nẵng, Việt Nam",720,20,0.2,4.4,1,1,1,1,1,1,1,0
Sunflower Hotel 2,"59 Loseby, Ward An Hai Bac, Son Tra District, Đà Nẵng, Việt Nam",280,15,0.35,4.6,0,1,1,1,1,1,0,0
Flower Boutique Hotel,"33 - 34 Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Đà Nẵng, Việt Nam",823,25,0.3,4.2,1,1,1,0,1,1,1,0
Amunra Ocean Hotel,"06 An Thượng 30, phường Mỹ An, quận Ngũ Hành Sơn, thành phố Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",630,35,0.2,4.4,0,1,1,0,1,1,0,0
Monalisa Luxury Hotel,"198 Trần Bạch Đằng, Đà Nẵng, Việt Nam",848,20,0.15,4.4,1,1,1,0,1,1,0,0
Alani Hotel & Spa,"134-136-138 Tran Bach Dang, Đà Nẵng, Việt Nam",672,20,0.15,4.4,1,1,1,1,1,1,1,0
MK Riverside Apartment by Haviland,"35, 37 Chương Dương, P.Mỹ An, Q.Ngũ Hành Sơn, Đà Nẵng, Việt Nam",611,35,1.6,3.0,0,1,1,0,1,1,0,0
HAIAN Riverfront Hotel Da Nang,"182 Bach Dang , Đà Nẵng, Việt Nam",1306,25,2.3,2.5,0,1,1,0,1,1,1,0
